year,country_code,country_name,country_category,ssi,hg,w,w_trend,w_prime,w_double_prime,ssi_m,ssi_d,ssi_i,ssi_r,hg_geopolitical,hg_economic,hg_social,hg_external,hg_nontraditional
2009,CAN,Canada,发达经济体,82.52,0.235,63.14,62.78,0.03,-0.0,33.45,23.13,16.09,7.31,0.105,0.06,0.062,0.04,0.023
2010,CAN,Canada,发达经济体,82.62,0.236,63.1,62.81,0.03,-0.0,32.69,24.36,17.22,7.92,0.054,0.088,0.04,0.038,0.021
2011,CAN,Canada,发达经济体,82.73,0.236,63.24,62.83,0.02,-0.0,34.18,24.24,16.82,7.92,0.024,0.089,0.05,0.049,0.026
2012,CAN,Canada,发达经济体,82.83,0.237,63.21,62.85,0.02,-0.0,33.56,23.02,16.09,8.88,0.046,0.096,0.065,0.024,0.033
2013,CAN,Canada,发达经济体,82.95,0.236,63.39,62.86,0.01,-0.0,31.21,24.52,15.83,8.6,0.104,0.037,0.047,0.042,0.026
2014,CAN,Canada,发达经济体,83.06,0.245,62.7,62.88,0.01,-0.0,31.69,23.02,16.92,7.44,0.056,0.057,0.069,0.027,0.029
2015,CAN,Canada,发达经济体,83.17,0.237,63.49,62.88,0.01,-0.0,34.98,25.81,16.13,9.09,0.097,0.084,0.058,0.026,0.028
2016,CAN,Canada,发达经济体,83.28,0.242,63.16,62.88,0.0,-0.0,30.44,23.91,16.44,8.24,0.064,0.04,0.068,0.019,0.02
2017,CAN,Canada,发达经济体,83.39,0.238,63.52,62.88,-0.0,-0.0,32.25,25.47,17.94,8.08,0.041,0.051,0.039,0.028,0.019
2018,CAN,Canada,发达经济体,83.49,0.244,63.12,62.88,-0.0,-0.0,30.64,26.24,18.41,7.78,0.043,0.041,0.041,0.054,0.025
2019,CAN,Canada,发达经济体,83.61,0.236,63.87,62.87,-0.01,-0.0,33.14,23.37,17.05,8.12,0.068,0.052,0.076,0.023,0.032
2020,CAN,Canada,发达经济体,82.72,0.287,58.94,62.87,-0.01,-0.0,31.27,26.69,15.46,7.31,0.073,0.101,0.05,0.06,0.023
2021,CAN,Canada,发达经济体,83.83,0.237,63.96,62.86,-0.01,0.0,31.96,26.89,17.49,8.22,0.029,0.075,0.032,0.052,0.017
2022,CAN,Canada,发达经济体,83.93,0.269,61.38,62.86,-0.0,0.0,31.2,26.82,15.76,7.79,0.055,0.076,0.054,0.026,0.035
2023,CAN,Canada,发达经济体,84.04,0.236,64.17,62.85,-0.0,0.0,35.41,26.67,17.48,8.45,0.062,0.095,0.059,0.032,0.032
2000,AUS,Australia,发达经济体,74.24,0.204,59.11,59.13,0.0,0.0,31.15,21.87,15.97,7.09,0.023,0.034,0.03,0.015,0.013
2001,AUS,Australia,发达经济体,74.39,0.213,58.55,59.16,0.03,0.0,27.14,21.4,14.22,6.87,0.064,0.089,0.026,0.041,0.024
2002,AUS,Australia,发达经济体,74.47,0.206,59.15,59.18,0.03,-0.0,28.08,21.05,13.96,6.53,0.031,0.086,0.044,0.011,0.03
2003,AUS,Australia,发达经济体,74.61,0.206,59.25,59.21,0.03,-0.0,31.27,21.48,13.48,8.15,0.063,0.071,0.035,0.035,0.02
2004,AUS,Australia,发达经济体,74.67,0.205,59.39,59.24,0.03,-0.0,27.34,20.59,15.52,7.56,0.072,0.061,0.032,0.041,0.027
2005,AUS,Australia,发达经济体,74.77,0.205,59.43,59.26,0.02,-0.0,28.43,22.14,14.73,8.0,0.067,0.056,0.035,0.044,0.012
2006,AUS,Australia,发达经济体,74.89,0.207,59.37,59.28,0.02,-0.0,27.39,24.18,16.46,8.44,0.044,0.079,0.065,0.033,0.023
2007,AUS,Australia,发达经济体,74.96,0.205,59.57,59.3,0.02,-0.0,30.55,21.45,14.36,7.96,0.027,0.062,0.028,0.041,0.027
2008,AUS,Australia,发达经济体,74.57,0.223,57.92,59.32,0.02,-0.0,28.04,23.23,13.27,8.14,0.059,0.039,0.053,0.022,0.02
2009,AUS,Australia,发达经济体,75.15,0.209,59.41,59.34,0.02,-0.0,29.46,21.21,13.1,8.32,0.014,0.038,0.051,0.012,0.028
2010,AUS,Australia,发达经济体,75.28,0.207,59.73,59.36,0.02,-0.0,30.1,23.28,13.7,6.58,0.031,0.019,0.051,0.041,0.03
2011,AUS,Australia,发达经济体,75.36,0.207,59.75,59.37,0.01,-0.0,32.69,23.63,13.96,6.79,0.109,0.049,0.054,0.037,0.019
2012,AUS,Australia,发达经济体,75.46,0.207,59.87,59.38,0.01,-0.0,28.43,23.37,16.42,7.94,0.062,0.061,0.04,0.033,0.024
2013,AUS,Australia,发达经济体,75.58,0.209,59.82,59.38,0.0,-0.0,31.81,24.19,16.12,6.91,0.051,0.044,0.049,0.029,0.022
2014,AUS,Australia,发达经济体,75.66,0.219,59.12,59.38,-0.0,-0.0,31.56,23.84,14.99,7.4,0.089,0.024,0.043,0.039,0.025
2015,AUS,Australia,发达经济体,75.75,0.21,59.84,59.37,-0.01,-0.0,31.19,20.81,14.14,7.2,0.064,0.059,0.035,0.022,0.024
2016,AUS,Australia,发达经济体,75.86,0.212,59.77,59.36,-0.01,-0.0,29.03,22.54,14.78,7.48,0.093,0.045,0.039,0.037,0.013
2017,AUS,Australia,发达经济体,75.95,0.21,60.04,59.35,-0.01,-0.0,30.25,23.93,16.37,8.57,0.019,0.023,0.048,0.019,0.015
2018,AUS,Australia,发达经济体,76.04,0.217,59.52,59.34,-0.02,-0.0,30.33,23.85,15.53,6.82,0.029,0.018,0.05,0.03,0.018
2019,AUS,Australia,发达经济体,76.14,0.209,60.25,59.32,-0.02,-0.0,29.3,23.33,13.37,6.98,0.029,0.061,0.012,0.026,0.029
2020,AUS,Australia,发达经济体,75.26,0.261,55.63,59.3,-0.02,-0.0,32.11,22.17,14.79,8.23,0.09,0.027,0.072,0.027,0.022
2021,AUS,Australia,发达经济体,76.35,0.21,60.29,59.28,-0.02,0.0,30.19,21.32,15.97,8.39,0.063,0.086,0.023,0.032,0.027
2022,AUS,Australia,发达经济体,76.44,0.241,58.03,59.27,-0.02,0.0,29.21,22.85,13.83,7.86,0.07,0.068,0.022,0.056,0.024
2023,AUS,Australia,发达经济体,76.54,0.212,60.32,59.25,-0.02,0.0,27.81,23.89,15.4,6.66,0.074,0.086,0.048,0.045,0.023
2000,KOR,South Korea,发达经济体,74.34,0.254,55.46,55.37,0.0,0.0,30.61,21.14,15.05,7.14,0.122,0.049,0.069,0.041,0.029
2001,KOR,South Korea,发达经济体,74.46,0.267,54.59,55.39,0.03,0.0,29.88,23.29,13.1,7.8,0.082,0.051,0.05,0.025,0.026
2002,KOR,South Korea,发达经济体,74.56,0.256,55.49,55.42,0.03,0.0,29.35,21.71,16.44,7.69,0.04,0.097,0.043,0.049,0.028
2003,KOR,South Korea,发达经济体,74.68,0.255,55.6,55.45,0.03,-0.0,32.02,22.54,14.26,8.45,0.033,0.031,0.067,0.044,0.016
2004,KOR,South Korea,发达经济体,74.78,0.257,55.59,55.47,0.03,-0.0,31.32,24.3,15.06,7.53,0.06,0.061,0.029,0.038,0.026
2005,KOR,South Korea,发达经济体,74.87,0.257,55.6,55.5,0.03,-0.0,32.9,23.13,16.94,7.43,0.12,0.089,0.059,0.028,0.017
2006,KOR,South Korea,发达经济体,74.97,0.257,55.69,55.52,0.02,-0.0,32.16,22.12,15.4,7.91,0.121,0.075,0.07,0.031,0.02
2007,KOR,South Korea,发达经济体,75.11,0.258,55.71,55.55,0.02,-0.0,27.68,20.77,15.74,8.18,0.073,0.058,0.042,0.051,0.021
2008,KOR,South Korea,发达经济体,74.68,0.277,54.0,55.57,0.02,-0.0,28.17,22.15,13.13,7.0,0.105,0.078,0.079,0.023,0.033
2009,KOR,South Korea,发达经济体,75.31,0.258,55.9,55.59,0.02,-0.0,28.3,24.39,14.17,7.66,0.033,0.063,0.053,0.023,0.017
2010,KOR,South Korea,发达经济体,75.42,0.256,56.11,55.6,0.02,-0.0,30.15,20.75,13.72,6.96,0.046,0.077,0.068,0.044,0.025
2011,KOR,South Korea,发达经济体,75.53,0.259,55.95,55.62,0.01,-0.0,32.4,23.43,13.16,6.67,0.03,0.064,0.054,0.033,0.023
2012,KOR,South Korea,发达经济体,75.62,0.259,56.02,55.63,0.01,-0.0,32.54,21.77,15.69,7.11,0.096,0.076,0.049,0.022,0.028
2013,KOR,South Korea,发达经济体,75.73,0.26,56.01,55.64,0.01,-0.0,32.84,24.42,15.83,8.31,0.055,0.102,0.072,0.047,0.017
2014,KOR,South Korea,发达经济体,75.84,0.27,55.36,55.64,0.0,-0.0,30.18,21.64,14.77,7.28,0.082,0.056,0.08,0.047,0.029
2015,KOR,South Korea,发达经济体,75.95,0.259,56.26,55.64,-0.0,-0.0,32.91,21.35,16.96,8.05,0.067,0.054,0.062,0.039,0.035
2016,KOR,South Korea,发达经济体,76.05,0.265,55.87,55.63,-0.0,-0.0,30.65,23.64,14.95,8.35,0.113,0.09,0.057,0.022,0.022
2017,KOR,South Korea,发达经济体,76.17,0.262,56.24,55.62,-0.01,-0.0,29.24,22.11,16.52,7.56,0.099,0.101,0.062,0.056,0.031
2018,KOR,South Korea,发达经济体,76.26,0.269,55.72,55.61,-0.01,-0.0,32.67,22.7,16.73,7.61,0.039,0.072,0.082,0.045,0.022
2019,KOR,South Korea,发达经济体,76.37,0.26,56.55,55.6,-0.01,-0.0,32.03,22.35,16.41,7.03,0.076,0.069,0.025,0.047,0.03
2020,KOR,South Korea,发达经济体,75.48,0.31,52.08,55.59,-0.01,-0.0,31.79,24.6,14.3,6.63,0.059,0.114,0.044,0.052,0.034
2021,KOR,South Korea,发达经济体,76.58,0.262,56.49,55.58,-0.01,0.0,31.02,23.82,16.95,8.05,0.115,0.047,0.06,0.046,0.028
2022,KOR,South Korea,发达经济体,76.69,0.292,54.28,55.57,-0.01,0.0,29.32,22.21,14.67,8.51,0.08,0.06,0.057,0.027,0.036
2023,KOR,South Korea,发达经济体,76.8,0.261,56.79,55.56,-0.01,0.0,27.74,24.83,15.23,6.97,0.102,0.084,0.069,0.044,0.027
2000,ESP,Spain,发达经济体,76.29,0.24,58.0,57.97,0.0,0.0,29.67,21.22,15.47,6.7,0.097,0.044,0.067,0.027,0.029
2001,ESP,Spain,发达经济体,76.29,0.252,57.03,57.74,-0.24,0.0,28.16,24.55,13.45,8.48,0.123,0.067,0.036,0.028,0.031
2002,ESP,Spain,发达经济体,76.18,0.243,57.67,57.5,-0.24,0.0,29.98,24.52,16.49,7.03,0.08,0.076,0.071,0.051,0.023
2003,ESP,Spain,发达经济体,76.21,0.244,57.62,57.27,-0.24,-0.0,29.47,21.16,16.2,7.84,0.118,0.062,0.064,0.032,0.03
2004,ESP,Spain,发达经济体,76.14,0.247,57.3,57.03,-0.24,-0.0,32.38,22.22,14.65,7.33,0.065,0.024,0.039,0.034,0.022
2005,ESP,Spain,发达经济体,76.08,0.247,57.28,56.79,-0.24,-0.0,30.41,21.8,15.29,8.28,0.027,0.06,0.051,0.047,0.034
2006,ESP,Spain,发达经济体,76.04,0.251,56.98,56.56,-0.24,-0.0,30.03,21.06,16.5,6.75,0.047,0.069,0.065,0.036,0.031
2007,ESP,Spain,发达经济体,76.04,0.249,57.14,56.32,-0.24,-0.0,30.11,22.76,14.94,7.95,0.025,0.067,0.021,0.034,0.03
2008,ESP,Spain,发达经济体,75.51,0.274,54.85,56.08,-0.24,0.0,30.67,22.23,16.58,7.1,0.066,0.076,0.029,0.029,0.029
2009,ESP,Spain,发达经济体,75.96,0.254,56.63,55.84,-0.24,0.0,27.5,21.34,16.54,7.07,0.096,0.088,0.047,0.033,0.016
2010,ESP,Spain,发达经济体,75.94,0.253,56.71,55.61,-0.23,0.0,32.32,23.19,13.54,6.71,0.103,0.068,0.062,0.024,0.027
2011,ESP,Spain,发达经济体,72.89,0.337,48.34,55.38,-0.23,0.0,31.92,20.93,14.68,7.65,0.105,0.104,0.038,0.045,0.026
2012,ESP,Spain,发达经济体,75.85,0.259,56.23,55.15,-0.23,0.0,28.27,24.0,14.37,8.0,0.103,0.088,0.04,0.057,0.024
2013,ESP,Spain,发达经济体,75.82,0.258,56.24,54.92,-0.23,0.0,29.58,22.2,15.0,8.09,0.053,0.096,0.024,0.049,0.029
2014,ESP,Spain,发达经济体,75.76,0.269,55.35,54.7,-0.23,-0.0,31.99,21.71,16.05,7.06,0.065,0.028,0.078,0.03,0.027
2015,ESP,Spain,发达经济体,75.75,0.262,55.87,54.47,-0.23,-0.0,31.59,21.12,13.88,8.52,0.056,0.084,0.055,0.046,0.023
2016,ESP,Spain,发达经济体,75.7,0.269,55.35,54.23,-0.23,-0.0,31.37,20.81,16.57,8.41,0.082,0.04,0.05,0.041,0.027
2017,ESP,Spain,发达经济体,75.67,0.265,55.64,54.0,-0.24,-0.0,27.86,24.64,17.09,7.74,0.059,0.051,0.03,0.039,0.033
2018,ESP,Spain,发达经济体,75.63,0.278,54.63,53.76,-0.24,-0.0,29.63,24.5,16.11,7.7,0.041,0.072,0.059,0.043,0.026
2019,ESP,Spain,发达经济体,75.6,0.268,55.38,53.52,-0.24,-0.0,28.59,24.64,13.71,7.25,0.117,0.1,0.068,0.021,0.022
2020,ESP,Spain,发达经济体,72.56,0.391,44.18,53.28,-0.24,0.0,29.17,23.07,15.62,7.83,0.119,0.08,0.081,0.059,0.033
2021,ESP,Spain,发达经济体,75.52,0.273,54.9,53.05,-0.23,0.0,27.5,24.39,16.54,8.43,0.122,0.042,0.073,0.047,0.029
2022,ESP,Spain,发达经济体,75.48,0.304,52.51,52.82,-0.23,0.0,30.53,22.49,14.71,6.96,0.108,0.042,0.068,0.047,0.034
2023,ESP,Spain,发达经济体,75.45,0.274,54.75,52.59,-0.23,0.0,32.7,22.58,13.42,6.64,0.11,0.091,0.043,0.031,0.033
2000,NLD,Netherlands,发达经济体,72.99,0.269,53.33,53.34,0.0,0.0,31.15,21.06,15.7,7.6,0.101,0.061,0.061,0.056,0.022
2001,NLD,Netherlands,发达经济体,73.08,0.28,52.59,53.37,0.03,0.0,31.51,22.99,14.75,8.26,0.098,0.045,0.081,0.035,0.037
2002,NLD,Netherlands,发达经济体,73.12,0.267,53.59,53.4,0.03,-0.0,28.72,23.03,14.57,6.69,0.12,0.065,0.027,0.051,0.036
2003,NLD,Netherlands,发达经济体,73.17,0.269,53.47,53.42,0.03,-0.0,26.32,20.96,15.71,7.52,0.121,0.059,0.028,0.027,0.024
2004,NLD,Netherlands,发达经济体,73.23,0.27,53.49,53.45,0.03,-0.0,26.47,21.8,15.23,8.11,0.071,0.039,0.069,0.043,0.037
2005,NLD,Netherlands,发达经济体,73.25,0.267,53.67,53.48,0.03,-0.0,32.28,23.26,15.21,7.12,0.037,0.06,0.06,0.03,0.027
2006,NLD,Netherlands,发达经济体,73.29,0.268,53.64,53.5,0.02,-0.0,26.47,20.38,16.47,8.07,0.046,0.094,0.041,0.048,0.028
2007,NLD,Netherlands,发达经济体,73.37,0.268,53.74,53.52,0.02,-0.0,29.12,22.53,16.61,7.42,0.126,0.05,0.067,0.047,0.021
2008,NLD,Netherlands,发达经济体,72.91,0.286,52.07,53.54,0.02,-0.0,26.17,20.88,14.22,6.42,0.076,0.049,0.081,0.03,0.023
2009,NLD,Netherlands,发达经济体,73.45,0.265,53.96,53.56,0.02,-0.0,30.56,22.01,16.05,7.82,0.035,0.099,0.065,0.054,0.022
2010,NLD,Netherlands,发达经济体,73.53,0.268,53.84,53.58,0.02,-0.0,27.3,23.51,16.65,6.7,0.123,0.07,0.043,0.042,0.018
2011,NLD,Netherlands,发达经济体,73.55,0.268,53.83,53.59,0.01,-0.0,29.12,21.67,13.49,8.0,0.056,0.031,0.028,0.02,0.023
2012,NLD,Netherlands,发达经济体,73.6,0.266,54.04,53.6,0.01,-0.0,27.58,21.82,12.89,7.55,0.124,0.043,0.072,0.024,0.031
2013,NLD,Netherlands,发达经济体,73.66,0.267,54.02,53.6,0.0,-0.0,31.93,21.51,15.03,6.42,0.09,0.053,0.074,0.041,0.033
2014,NLD,Netherlands,发达经济体,73.69,0.277,53.32,53.61,0.0,-0.0,32.17,21.59,15.39,6.83,0.123,0.086,0.072,0.034,0.031
2015,NLD,Netherlands,发达经济体,73.77,0.264,54.29,53.6,-0.0,-0.0,28.02,22.77,16.48,7.87,0.09,0.083,0.03,0.049,0.03
2016,NLD,Netherlands,发达经济体,73.81,0.269,53.96,53.59,-0.01,-0.0,27.12,21.37,14.56,7.19,0.115,0.081,0.04,0.056,0.029
2017,NLD,Netherlands,发达经济体,73.86,0.267,54.14,53.58,-0.01,-0.0,29.27,21.5,15.62,7.51,0.067,0.09,0.031,0.025,0.029
2018,NLD,Netherlands,发达经济体,73.91,0.272,53.78,53.57,-0.01,-0.0,28.91,23.8,16.01,6.96,0.046,0.107,0.049,0.054,0.019
2019,NLD,Netherlands,发达经济体,73.97,0.265,54.41,53.55,-0.02,-0.0,28.22,21.83,15.9,7.32,0.034,0.087,0.063,0.033,0.034
2020,NLD,Netherlands,发达经济体,73.01,0.314,50.06,53.53,-0.02,-0.0,31.09,20.22,15.42,6.37,0.122,0.095,0.033,0.053,0.035
2021,NLD,Netherlands,发达经济体,74.07,0.264,54.5,53.52,-0.02,0.0,32.03,20.73,14.99,7.44,0.072,0.046,0.047,0.047,0.032
2022,NLD,Netherlands,发达经济体,74.12,0.294,52.32,53.5,-0.02,0.0,30.33,23.15,13.43,6.83,0.108,0.051,0.048,0.034,0.034
2023,NLD,Netherlands,发达经济体,74.17,0.266,54.45,53.49,-0.02,0.0,31.93,24.08,14.2,6.97,0.116,0.044,0.08,0.042,0.028
2000,CHE,Switzerland,发达经济体,70.25,0.234,53.85,53.88,0.0,0.0,30.12,19.23,15.33,7.49,0.055,0.064,0.077,0.041,0.025
2001,CHE,Switzerland,发达经济体,70.29,0.245,53.07,53.77,-0.1,0.0,26.7,20.28,13.07,6.12,0.108,0.04,0.045,0.033,0.034
2002,CHE,Switzerland,发达经济体,70.37,0.236,53.8,53.67,-0.1,-0.0,27.84,22.98,13.75,6.92,0.12,0.074,0.019,0.016,0.021
2003,CHE,Switzerland,发达经济体,70.43,0.237,53.71,53.56,-0.11,-0.0,29.71,23.04,14.42,7.5,0.089,0.023,0.052,0.026,0.016
2004,CHE,Switzerland,发达经济体,70.5,0.241,53.5,53.46,-0.11,-0.0,27.18,20.08,15.23,6.8,0.034,0.094,0.044,0.051,0.028
2005,CHE,Switzerland,发达经济体,70.55,0.241,53.52,53.35,-0.11,-0.0,29.38,22.25,15.29,7.05,0.093,0.071,0.036,0.047,0.027
2006,CHE,Switzerland,发达经济体,70.6,0.243,53.46,53.24,-0.11,-0.0,31.05,21.5,15.01,6.06,0.026,0.057,0.032,0.027,0.02
2007,CHE,Switzerland,发达经济体,70.65,0.244,53.38,53.13,-0.11,-0.0,26.41,21.83,12.78,6.95,0.064,0.065,0.07,0.02,0.034
2008,CHE,Switzerland,发达经济体,70.24,0.268,51.43,53.02,-0.11,-0.0,28.58,21.69,14.49,7.22,0.078,0.033,0.029,0.028,0.019
2009,CHE,Switzerland,发达经济体,70.79,0.249,53.17,52.91,-0.11,-0.0,25.75,19.65,12.62,6.87,0.048,0.081,0.022,0.055,0.017
2010,CHE,Switzerland,发达经济体,70.84,0.249,53.17,52.79,-0.12,-0.0,28.44,20.5,15.02,6.59,0.083,0.023,0.076,0.044,0.02
2011,CHE,Switzerland,发达经济体,70.92,0.252,53.01,52.67,-0.12,-0.0,31.12,19.89,12.4,7.61,0.056,0.094,0.073,0.058,0.029
2012,CHE,Switzerland,发达经济体,70.97,0.256,52.78,52.55,-0.12,-0.0,27.7,20.02,14.6,6.75,0.115,0.039,0.078,0.037,0.035
2013,CHE,Switzerland,发达经济体,71.04,0.256,52.84,52.42,-0.13,-0.0,26.72,20.62,13.77,7.82,0.098,0.092,0.022,0.04,0.021
2014,CHE,Switzerland,发达经济体,71.09,0.267,52.11,52.29,-0.13,-0.0,30.32,21.75,14.7,6.41,0.042,0.051,0.077,0.024,0.029
2015,CHE,Switzerland,发达经济体,71.15,0.259,52.71,52.16,-0.13,-0.0,26.87,22.98,15.3,7.64,0.041,0.087,0.068,0.02,0.029
2016,CHE,Switzerland,发达经济体,71.21,0.266,52.3,52.03,-0.14,-0.0,28.49,20.46,12.64,6.46,0.074,0.087,0.031,0.053,0.026
2017,CHE,Switzerland,发达经济体,71.27,0.263,52.56,51.89,-0.14,-0.0,28.02,22.66,14.28,6.89,0.08,0.046,0.045,0.054,0.017
2018,CHE,Switzerland,发达经济体,71.33,0.272,51.93,51.74,-0.14,-0.0,28.87,19.42,13.68,6.53,0.078,0.095,0.036,0.048,0.02
2019,CHE,Switzerland,发达经济体,71.4,0.267,52.37,51.6,-0.14,-0.0,30.69,21.16,12.89,6.72,0.073,0.083,0.027,0.056,0.023
2020,CHE,Switzerland,发达经济体,70.46,0.319,48.01,51.46,-0.14,-0.0,26.78,19.55,14.52,7.32,0.079,0.046,0.06,0.06,0.027
2021,CHE,Switzerland,发达经济体,71.52,0.268,52.32,51.31,-0.14,0.0,28.56,21.63,12.74,7.85,0.055,0.083,0.061,0.054,0.017
2022,CHE,Switzerland,发达经济体,71.58,0.301,50.04,51.17,-0.14,0.0,27.22,22.6,15.2,6.25,0.061,0.044,0.038,0.035,0.031
2023,CHE,Switzerland,发达经济体,71.64,0.273,52.07,51.03,-0.14,0.0,30.71,23.06,13.15,7.59,0.055,0.053,0.041,0.026,0.03
2000,SWE,Sweden,发达经济体,70.96,0.265,52.17,52.02,0.0,0.0,27.24,20.53,15.05,7.01,0.097,0.067,0.03,0.051,0.019
2001,SWE,Sweden,发达经济体,71.11,0.279,51.28,52.12,0.1,0.0,25.67,23.15,12.85,7.95,0.062,0.087,0.042,0.047,0.021
2002,SWE,Sweden,发达经济体,71.21,0.264,52.39,52.22,0.1,0.0,31.32,20.02,13.05,7.04,0.057,0.09,0.055,0.053,0.028
2003,SWE,Sweden,发达经济体,71.31,0.266,52.36,52.32,0.1,-0.0,29.26,20.28,15.18,7.86,0.038,0.06,0.026,0.022,0.027
2004,SWE,Sweden,发达经济体,71.46,0.265,52.53,52.42,0.1,-0.0,30.72,21.56,14.78,7.92,0.109,0.084,0.079,0.032,0.022
2005,SWE,Sweden,发达经济体,71.63,0.266,52.58,52.52,0.1,-0.0,29.16,22.61,14.32,7.87,0.048,0.059,0.041,0.053,0.026
2006,SWE,Sweden,发达经济体,71.73,0.262,52.92,52.62,0.1,-0.0,30.64,20.58,12.68,6.68,0.119,0.099,0.039,0.028,0.035
2007,SWE,Sweden,发达经济体,71.88,0.263,52.95,52.71,0.1,-0.0,26.4,23.43,13.82,6.79,0.071,0.098,0.034,0.035,0.035
2008,SWE,Sweden,发达经济体,71.53,0.284,51.21,52.81,0.1,-0.0,25.97,20.53,16.27,7.9,0.111,0.032,0.056,0.028,0.025
2009,SWE,Sweden,发达经济体,72.16,0.262,53.23,52.9,0.09,-0.0,26.98,21.38,16.3,6.34,0.11,0.075,0.031,0.038,0.032
2010,SWE,Sweden,发达经济体,72.24,0.263,53.26,52.99,0.09,-0.0,28.03,21.3,15.37,8.18,0.041,0.054,0.027,0.02,0.022
2011,SWE,Sweden,发达经济体,72.39,0.264,53.31,53.08,0.09,-0.0,27.09,21.75,13.88,6.6,0.123,0.085,0.077,0.031,0.032
2012,SWE,Sweden,发达经济体,72.53,0.262,53.53,53.17,0.09,-0.0,31.82,23.62,15.28,7.31,0.042,0.047,0.076,0.056,0.022
2013,SWE,Sweden,发达经济体,72.66,0.262,53.62,53.25,0.08,-0.0,29.23,21.99,15.6,8.16,0.107,0.086,0.07,0.033,0.033
2014,SWE,Sweden,发达经济体,72.78,0.271,53.06,53.33,0.08,-0.0,30.41,21.84,15.69,6.54,0.088,0.031,0.051,0.048,0.021
2015,SWE,Sweden,发达经济体,72.92,0.26,53.98,53.41,0.08,-0.0,27.3,22.59,16.56,7.2,0.122,0.088,0.069,0.024,0.025
2016,SWE,Sweden,发达经济体,73.05,0.264,53.79,53.48,0.07,-0.0,32.19,20.13,15.62,6.7,0.088,0.093,0.082,0.055,0.018
2017,SWE,Sweden,发达经济体,73.18,0.255,54.52,53.55,0.07,-0.0,30.9,21.76,12.97,6.51,0.085,0.062,0.033,0.044,0.026
2018,SWE,Sweden,发达经济体,73.31,0.266,53.79,53.62,0.07,-0.0,27.95,23.92,13.28,6.87,0.038,0.062,0.029,0.02,0.036
2019,SWE,Sweden,发达经济体,73.44,0.259,54.43,53.68,0.06,-0.0,29.12,21.14,14.91,7.39,0.098,0.088,0.072,0.036,0.031
2020,SWE,Sweden,发达经济体,72.57,0.309,50.13,53.75,0.06,-0.0,26.84,20.72,14.38,6.67,0.095,0.104,0.044,0.054,0.036
2021,SWE,Sweden,发达经济体,73.7,0.257,54.77,53.81,0.07,0.0,27.99,20.5,16.58,7.54,0.063,0.027,0.049,0.043,0.023
2022,SWE,Sweden,发达经济体,73.83,0.287,52.63,53.88,0.07,0.0,30.14,23.24,14.07,8.37,0.054,0.06,0.086,0.036,0.033
2023,SWE,Sweden,发达经济体,73.96,0.254,55.16,53.95,0.07,0.0,30.03,21.8,16.25,7.0,0.055,0.076,0.042,0.051,0.016
2000,NOR,Norway,发达经济体,75.22,0.266,55.21,55.31,0.0,0.0,32.43,22.89,13.05,8.18,0.125,0.041,0.049,0.025,0.017
2001,NOR,Norway,发达经济体,75.2,0.275,54.52,55.17,-0.14,0.0,27.57,22.29,14.9,6.98,0.035,0.038,0.026,0.037,0.027
2002,NOR,Norway,发达经济体,75.25,0.267,55.19,55.03,-0.14,-0.0,29.57,23.1,16.62,6.84,0.046,0.035,0.025,0.022,0.031
2003,NOR,Norway,发达经济体,75.28,0.269,55.0,54.89,-0.14,-0.0,28.53,22.72,14.02,7.18,0.091,0.078,0.038,0.054,0.018
2004,NOR,Norway,发达经济体,75.25,0.271,54.89,54.74,-0.14,-0.0,29.71,21.09,14.88,6.82,0.083,0.09,0.082,0.022,0.022
2005,NOR,Norway,发达经济体,75.32,0.272,54.85,54.6,-0.15,-0.0,29.34,22.26,14.97,7.04,0.061,0.099,0.055,0.023,0.034
2006,NOR,Norway,发达经济体,75.29,0.275,54.56,54.45,-0.15,-0.0,31.81,21.45,16.37,8.39,0.084,0.097,0.082,0.029,0.031
2007,NOR,Norway,发达经济体,75.26,0.277,54.43,54.3,-0.15,-0.0,29.12,24.56,16.32,7.04,0.06,0.042,0.026,0.052,0.035
2008,NOR,Norway,发达经济体,74.79,0.297,52.59,54.15,-0.15,-0.0,30.94,23.3,14.52,7.25,0.069,0.111,0.037,0.043,0.034
2009,NOR,Norway,发达经济体,75.31,0.28,54.2,54.0,-0.15,-0.0,31.19,24.11,15.87,7.57,0.078,0.086,0.08,0.055,0.02
2010,NOR,Norway,发达经济体,75.32,0.282,54.08,53.85,-0.15,-0.0,30.84,22.48,15.9,8.41,0.118,0.083,0.036,0.04,0.034
2011,NOR,Norway,发达经济体,75.35,0.282,54.07,53.69,-0.16,-0.0,30.66,21.94,13.62,8.28,0.052,0.034,0.069,0.024,0.036
2012,NOR,Norway,发达经济体,75.34,0.284,53.92,53.53,-0.16,-0.0,28.35,20.94,16.97,6.85,0.075,0.049,0.038,0.042,0.024
2013,NOR,Norway,发达经济体,75.37,0.286,53.85,53.37,-0.16,-0.0,28.92,20.86,15.35,7.71,0.117,0.083,0.046,0.032,0.021
2014,NOR,Norway,发达经济体,75.39,0.297,53.0,53.2,-0.17,-0.0,33.06,24.08,15.88,6.88,0.087,0.114,0.066,0.053,0.026
2015,NOR,Norway,发达经济体,75.4,0.287,53.75,53.03,-0.17,-0.0,28.42,24.29,13.63,8.14,0.133,0.097,0.074,0.062,0.022
